borough,BBL,energy_star_core,EUI,emission_ton,emission_intensity_kg/ft2,square,standard,penalty
MANHATTAN,1-00377-0026,12.0,126.2,272.5,9.3,29301.1,0.00675,20024.3
BROOKLYN,3-05248-0022,9.0,121.7,302.1,6.9,43782.6,0.00675,1760.1
,1-01120-0007,55.0,94.6,327.5,7.2,45486.1,0.00675,5485.6
MANHATTAN,1-02161-0045,1.0,161.8,354.1,10.0,35410.0,0.00675,30842.1
MANHATTAN,1-02179-0218,18.0,122.9,426.0,9.2,46304.3,0.00675,30403.5
BRONX,2-04833-0058,10.0,122.1,298.0,9.1,32747.3,0.00675,20624.1
BRONX,2-03170-0040,2.0,151.8,566.4,11.4,49684.2,0.00675,61916.5
BRONX,2-03181-0030,6.0,121.9,328.9,9.0,36544.4,0.00675,22036.4
BRONX,2-03181-0015,12.0,120.6,328.6,9.0,36511.1,0.00675,22016.2
BRONX,2-03170-0034,1.0,156.9,498.5,11.7,42606.8,0.00675,56522.3
BRONX,2-03341-0016,2.0,153.7,470.0,11.4,41228.1,0.00675,51378.4
BROOKLYN,3-05357-0054,28.0,119.6,284.1,6.8,41779.4,0.00675,559.9
BRONX,2-03213-0033,1.0,203.3,482.1,11.2,43044.6,0.00675,51335.1
MANHATTAN,1015700021,43.0,114.4,1777.5,6.8,261397.1,0.00675,3502.6
MANHATTAN,1020730029,19.0,120.0,201.1,6.9,29144.9,0.00675,1171.7
BRONX,2024660040,67.0,102.9,347.4,7.6,45710.5,0.00675,10412.9
BRONX,2-05855-2239,20.0,123.5,235.8,7.1,33211.3,0.00675,3115.2
MANHATTAN,1-02139-0159,4.0,152.1,419.6,8.4,49952.4,0.00675,22088.9
BRONX,2-03207-0056,14.0,131.2,294.6,9.8,30061.2,0.00675,24572.1
BROOKLYN,3-06117-0036,3.0,112.9,235.1,6.8,34573.5,0.00675,463.3
BROOKLYN,3-06001-0006,11.0,131.5,243.4,7.3,33342.5,0.00675,4914.6
MANHATTAN,1019930057,43.0,113.8,365.0,8.5,42941.2,0.00675,20139.4
BROOKLYN,3-00277-0001,1.0,93.9,473.3,7.2,65736.1,0.00675,7927.8
MANHATTAN,1021790354,46.0,94.6,284.7,7.1,40098.6,0.00675,3761.2
MANHATTAN,1018760058,5.0,147.7,281.0,10.0,28100.0,0.00675,24475.1
MANHATTAN,1009060055,12.0,131.8,368.3,9.9,37202.0,0.00675,31406.0
MANHATTAN,1007710001,38.0,103.3,250.0,7.7,32467.5,0.00675,8266.3
MANHATTAN,1013440036,62.0,110.5,233.8,8.2,28512.2,0.00675,11079.8
MANHATTAN,1010570056,89.0,96.5,118.3,7.2,16430.6,0.00675,1981.4
BRONX,2031950061,24.0,109.9,384.6,8.2,46902.4,0.00675,18226.4
MANHATTAN,1003757501,21.0,110.4,295.3,7.5,39373.3,0.00675,7914.1
QUEENS,4-00604-0026,55.0,106.4,256.8,7.9,32506.3,0.00675,10018.5
MANHATTAN,1008020001,,165.5,278.1,11.1,25054.1,0.00675,29207.9
BROOKLYN,3087170017,33.0,121.9,170.3,6.8,25044.1,0.00675,335.6
MANHATTAN,1-02175-0135,31.0,103.1,240.1,7.7,31181.8,0.00675,7938.9
BRONX,2-04170-0001,3.0,161.3,479.5,10.2,47009.8,0.00675,43465.3
MANHATTAN,1021350013,1.0,194.2,624.7,10.6,58934.0,0.00675,60808.0
MANHATTAN,1021350020,37.0,109.2,572.7,8.1,70703.7,0.00675,25580.6
QUEENS,4014520006,35.0,129.5,367.2,9.5,38652.6,0.00675,28487.0
QUEENS,4014780001,7.0,158.2,402.7,9.1,44252.7,0.00675,27870.5
MANHATTAN,1009180007,8.0,134.0,285.9,7.9,36189.9,0.00675,11153.7
MANHATTAN,1015120016,12.0,152.4,265.0,9.6,27604.2,0.00675,21084.0
MANHATTAN,1015780014,8.0,128.0,224.2,7.5,29893.3,0.00675,6008.6
BRONX,2-03194-0031,,152.0,273.5,8.6,31802.3,0.00675,15767.6
BRONX,2-02805-0012,10.0,130.9,444.8,9.7,45855.7,0.00675,36253.4
MANHATTAN,1-02180-0018,36.0,112.9,285.0,8.4,33928.6,0.00675,15003.2
MANHATTAN,1-02176-0078,38.0,129.6,437.2,8.3,52674.7,0.00675,21881.1
,1-02180-0031,28.0,130.0,314.4,9.8,32081.6,0.00675,26223.6
MANHATTAN,1-02243-0278,25.0,121.6,267.6,9.0,29733.3,0.00675,17929.3
MANHATTAN,1-02217-0051,1.0,230.1,726.6,13.7,53036.5,0.00675,98785.8
MANHATTAN,1-02122-0130,58.0,110.3,240.6,8.1,29703.7,0.00675,10746.8
BROOKLYN,3-05637-0001,3.0,124.0,240.1,7.3,32890.4,0.00675,4848.1
MANHATTAN,1-01238-0052,,150.0,358.7,11.4,31464.9,0.00675,39211.6
MANHATTAN,1-00771-0068,69.0,92.1,212.0,6.8,31176.5,0.00675,417.7
BROOKLYN,3-06284-0050,10.0,124.6,428.1,9.5,45063.2,0.00675,33211.5
MANHATTAN,1-01594-0022,43.0,105.9,208.4,7.9,26379.7,0.00675,8130.3
MANHATTAN,1-01551-0012,67.0,112.9,242.5,8.4,28869.0,0.00675,12766.0
MANHATTAN,1-02142-0130,16.0,123.9,722.2,9.2,78500.0,0.00675,51543.1
BROOKLYN,3014090006,4.0,116.0,237.8,6.8,34970.6,0.00675,468.6
BROOKLYN,3017000062,2.0,114.9,246.4,7.0,35200.0,0.00675,2358.4
QUEENS,4095580046,1.0,122.9,351.1,7.5,46813.3,0.00675,9409.5
MANHATTAN,1-00801-7503,1.0,131.8,896.1,8.6,104197.7,0.00675,51661.2
BRONX,2029730061,3.0,123.4,248.1,7.2,34458.3,0.00675,4155.7
BRONX,2033090061,30.0,91.2,310.3,6.8,45632.4,0.00675,611.4
BRONX,2042480048,27.0,99.6,278.0,7.4,37567.6,0.00675,6544.2
BRONX,2030410028,32.0,93.6,304.2,6.9,44087.0,0.00675,1772.2
BRONX,2029500011,2.0,110.5,208.6,6.8,30676.5,0.00675,411.0
BRONX,2031930024,13.0,102.5,241.7,7.6,31802.6,0.00675,7244.7
BRONX,2028280017,3.0,137.0,218.4,7.7,28363.6,0.00675,7221.4
BROOKLYN,3013850023,2.0,138.0,277.3,7.9,35101.3,0.00675,10818.1
BRONX,2028790200,1.0,146.1,511.6,10.7,47813.1,0.00675,50614.9
BRONX,2032250007,26.0,98.4,369.2,7.4,49891.9,0.00675,8691.2
BRONX,2-02961-0025,18.0,123.9,199.4,7.3,27315.1,0.00675,4026.2
MANHATTAN,1008500064,11.0,111.7,620.5,7.9,78544.3,0.00675,24207.4
MANHATTAN,1013090008,7.0,102.6,412.5,7.4,55743.2,0.00675,9710.6
MANHATTAN,1-02171-0120,48.0,99.6,251.0,7.2,34861.1,0.00675,4204.3
MANHATTAN,1-01580-0033,60.0,125.8,375.3,8.7,43137.9,0.00675,22543.9
BROOKLYN,3-03078-0001,5.0,146.0,6399.6,8.3,771036.1,0.00675,320288.5
BRONX,2-05859-0297,49.0,107.0,376.8,7.9,47696.2,0.00675,14700.0
MANHATTAN,1003980018,30.0,130.8,411.0,9.4,43723.4,0.00675,31052.4
MANHATTAN,1004760019,50.0,126.0,246.0,7.7,31948.1,0.00675,8133.9
MANHATTAN,1012460001,13.0,136.7,541.7,7.7,70350.6,0.00675,17911.4
MANHATTAN,1012380046,8.0,145.2,1823.8,8.5,214564.7,0.00675,100630.9
BRONX,2-02272-0022,1.0,120.8,1012.8,9.1,111296.7,0.00675,70094.7
BRONX,2-02271-0005,2.0,162.1,2354.9,12.1,194619.8,0.00675,279046.0
BRONX,2-02269-0001,12.0,117.4,1837.2,8.8,208772.7,0.00675,114699.8
MANHATTAN,1-00826-0011,,106.7,302.1,7.2,41958.3,0.00675,5060.2
MANHATTAN,1-00459-7502,,95.7,264.4,6.8,38882.4,0.00675,520.9
BRONX,2031690043,13.0,136.8,557.2,7.7,72363.6,0.00675,18423.8
BRONX,2028020039,1.0,185.9,349.3,14.0,24950.0,0.00675,48477.9
BROOKLYN,3056080006,1.0,126.7,269.2,7.8,34512.8,0.00675,9711.9
BRONX,2032250106,25.0,96.3,306.6,7.1,43183.1,0.00675,4050.6
BRONX,2032120015,16.0,120.4,375.9,6.9,54478.3,0.00675,2190.0
BRONX,2032810057,1.0,377.3,998.5,28.4,35158.5,0.00675,203996.3
MANHATTAN,1021740119,13.0,124.6,273.5,7.1,38521.1,0.00675,3613.3
BRONX,2028410045,1.0,183.4,462.6,10.6,43641.5,0.00675,45029.3
BRONX,2028410055,6.0,131.1,289.7,7.5,38626.7,0.00675,7763.9
BRONX,2040490054,1.0,159.5,263.9,8.9,29651.7,0.00675,17085.3
BRONX,2033480054,33.0,93.3,430.0,6.9,62318.8,0.00675,2505.3
BRONX,2037760062,1.0,201.4,348.8,11.1,31423.4,0.00675,36633.5
BRONX,2032480111,1.0,162.3,336.0,12.1,27768.6,0.00675,39814.6
BRONX,2-04317-0037,23.0,141.2,463.0,10.5,44095.2,0.00675,44315.8
BROOKLYN,3-04126-0025,1.0,135.1,371.1,7.8,47576.9,0.00675,13388.2
BROOKLYN,3-05731-0064,7.0,134.3,212.0,7.6,27894.7,0.00675,6354.5
BROOKLYN,3-05052-0007,1.0,211.9,307.4,11.6,26500.0,0.00675,34444.7
BRONX,2-02791-0044,22.0,93.3,254.3,6.9,36855.1,0.00675,1481.5
BROOKLYN,3-04675-0001,13.0,131.4,281.4,7.7,36545.5,0.00675,9304.4
QUEENS,4-09713-0163,24.0,125.2,294.6,7.1,41493.0,0.00675,3892.0
MANHATTAN,1-00720-0049,1.0,192.9,444.3,11.4,38973.7,0.00675,48569.0
MANHATTAN,1-00519-0044,15.0,119.8,246.6,6.9,35739.1,0.00675,1436.8
BRONX,2-03324-0041,13.0,128.5,469.1,9.5,49378.9,0.00675,36392.4
BRONX,2-03324-0045,19.0,127.6,429.0,9.4,45638.3,0.00675,32412.3
BRONX,2-04994-0017,39.0,101.3,384.9,7.5,51320.0,0.00675,10315.3
MANHATTAN,1-00800-7502,,157.5,286.5,8.8,32556.8,0.00675,17886.7
QUEENS,4-01229-0034,7.0,132.6,215.1,7.4,29067.6,0.00675,5063.5
QUEENS,4-01175-0036,7.0,118.6,239.2,6.9,34666.7,0.00675,1393.5
QUEENS,4-03258-0023,6.0,106.8,410.6,7.9,51974.7,0.00675,16018.6
MANHATTAN,1-02225-0020,43.0,106.9,295.0,7.9,37341.8,0.00675,11508.7
BRONX,2-04831-0048,41.0,108.2,405.8,8.0,50725.0,0.00675,16992.9
QUEENS,4-03156-0106,28.0,91.7,358.4,6.8,52705.9,0.00675,706.2
,1-02127-0035,85.0,95.3,195.1,7.0,27871.4,0.00675,1867.4
BRONX,2-02813-0009,57.0,109.6,243.8,8.1,30098.8,0.00675,10889.7
BROOKLYN,3-06110-0052,19.0,125.6,246.5,7.1,34718.3,0.00675,3256.6
MANHATTAN,1-00284-0011,1.0,166.5,345.9,9.6,36031.2,0.00675,27520.8
MANHATTAN,1-00542-7502,4.0,148.6,293.5,8.7,33735.6,0.00675,17630.3
MANHATTAN,1-00078-7506,,103.0,200.1,6.9,29000.0,0.00675,1165.8
MANHATTAN,1007640051,1.0,198.1,465.8,11.3,41221.2,0.00675,50265.2
MANHATTAN,1-00849-0055,,104.1,268.0,7.6,35263.2,0.00675,8032.9
MANHATTAN,1-01346-7503,,106.5,429.7,7.6,56539.5,0.00675,12879.6
BRONX,2-03156-0155,19.0,136.0,343.3,7.7,44584.4,0.00675,11351.2
MANHATTAN,1-02036-0001,70.0,114.8,222.9,6.8,32779.4,0.00675,439.3
MANHATTAN,1-00530-7502,,134.9,273.1,8.1,33716.0,0.00675,12198.6
MANHATTAN,1-00147-7508,,126.3,419.0,8.3,50481.9,0.00675,20970.2
